barcode,product_name,brands
8904063222862,Pudina Paratha,Haldiram's Minute Khana
8906013645042,Plain khakra,Jagdish
0946497599453,Reload Orange Rush,Fast and Up
8908001169066,Grapes Mix,
8906036849359,roasted channa,spicelands
8906036846730,puffed rice,spicelands
8904064618572,toor dal,transfood
8901058028959,Milkybar,Nestle
8909106069053,Imli Chutney,Kissan
8906021122245,Aachi Mixed Veg.pickle,Aachi
8901030667190,lifboy soz bachowk,
8904132930308,Healthy Life Chocostars,Unknown Brand
8901066036465,TOASTEA,
8901045420100,FRYING MIX 500G OT 20,
8906041814892,Party Stick Fresa,oslon
8906041814908,Party Stick Chocolate,
8901777594100,Kesar Gujiya,Vadilal
8906010503949,Chataka Pataka,Balaji Wafers
8908013080182,Organic coconut milk,Coco Mama
8901262223850,Amul Roti,Amul
8903059591739,jowar flour,more
8906069406130,Instant Noodles Manchurian,WokTok
8901719135835,Parle h&s orenge cream biscuit,
8908012987741,Whey Coffee Mocha,Trunativ
8906129220539,Vanilla Ice Cream,Chhaswala
8908006628216,Quattro Formaggi,Nutoras
8901499012012,Kellogg’s Oats,Kellogg’s India
8904043501000,Multigrain Bread,Baker Loaf
8906151230391,Quinoa Puffs - Dahi Papdi Chaat,Snackible
8901088137539,Hair creem gold soft.2*140ml.parachute,
8904150503850,pancake,
8901248240345,Hair shampoo damage repair. 340ml.kesh king.,
0048107251130,Pro Performance - Cookies & Cream,GNC
8901548310199,Nutrition drink powder 400gm,complain
8906165786105,Biozorb Performance Whey,MuscleBlaze
8906059639784,50g Paneer,Epigamia Turbo
8904063210913,Haldirams Homestyle Paratha,Haldiram's
8908020463527,Punjabi Tadka,Crax
8906065169510,Lebanese Falafel Kebab,ITC
8906030061559,Sliced green olives,
4901347372026,,
8906169991932,,
8906019562077,Moong Dal,Real Bites
8901138713904,Foot scrum smoothing.150ml.himalaya,
8901248338028,"Bath soap pure glyceringe whith olive,125gr.Boro plus",
8907316014788,Ginger & Garlic Paste,Mother's Recipe
8906021920445,apis mango jam,
8901764692017,Carbonate Water,Sprite
8906033261062,Thé vert au gingembre,
5000295155343,Matured For 36 Months Reserve Cheddar Cheese,Davidstow
8901777459553,Veg Spring Roll,Vadilal
8906141311260,Honey,Dollar General
8801055724611,,
8908011747346,,
8906064285341,Tender Coconut Water with Pulp,Unknown Brand
4901564720655,,
8908013252145,Granola choco almond &cookies 275gm Fit& Flex,
8908013252053,Granola happy berries 275gm Fit & Flex,
7622202836619,Oreo Golden Vanilla,"Oreo, Cadbury"
8901491100250,Lays,
8908027668031,Pina Colada,Dead Honest
8906107172461,Hot Wings,Meatigo
0820294212848,BC CHATKAT Bhelpuri,
8906005914545,Aakash Bhel,
8906005450890,Bikaji Bhel,
8909081003844,Dark fantastic Sunfeast sandwich cream,
5060141280711,Whortleberry Jam,Waterhouse Fayre
8908021821128,freshko,Unknown Brand
8901440011101,Chicken Masala Spice Mix,Eastern
8909081010552,Swiss Roll,Dark Fantasy
8901689030642,Black Currant Crush,Mala's
8167384528949,,
8901086260918,Herbal Cough Remedy,Zecuf
8906140204006,Nature's kima Dates 500gm,
8909081003134,Sun feast cakes sliced,
8906020495913,Lal dharwad peda,
8906009534251,Peanut Butter with Dark Chocolate,
8908013252190,Muesli Fruity Crunch,Fit & Flex
8909081010033,Chilli Cheese Baked Puff,Bingo!
8906088662364,Postpil,
8904093828430,Ok 72,
8904093825699,Pronta,
8908003032849,Garlic pickle,
4260467598526,Tavuk Salam,Unknown Brand
8908003115818,Osmania biscuits,Karachi Bakery
8906167241541,Plain Makhana,Whole Farm
8901063368170,,
8906081381729,Kerala Mixture,Telugu Foods
00260007,Aloe vera gel,patanjalo
8904424804270,Dry Fruit Mix,Happilo
8901888003225,,
8902015005303,,
8906005501585,Mastkin,
8906002485475,Chappi,
8906060910780,Spaghetti,VeroBella
00241015,,
8904304511281,Herbal,
3034580606991,,
8902268015852,Top ROYALE Butter & CHEESE,Anmol
8906142560391,Organic chickpea puffs-NYC Pizza,Popeas
8906142560407,Organic Chickpea Puffs - Tangy Taco,Popeas
8901491103329,Kurkure NAUGHTY TOMATO,Kurkure
8904258701318,Grapefruit Juice,Raw
0701098233645,Jamaica Pepper,Urban Platter
8906016420257,Roasted Peanuts plain,
8906107171013,Desi Chicken Burger Patty,Meatigo
8906165788741,Whey Max Rich Chocolate,Fuel One
8904004420203,Special Malai Peda,Haldiram's
5056185786920,MyProtein Micellar Casein Protein Chocolate Flavour,MyProtein
8906184753232,Bro oreo,
8901652141344,,
8904089969994,,
8904145911400,,
8904234407418,Incesnse,Satya
0631656260281,NitroTech Whey Gold Double Rich Chocolate,MuscleTech
4902505085697,rad pen,
8901781000086,,
8906063890614,Traditional Pork Kransky Sausages,La Carne Cuts
8906137370622,Wild Origins Honey,Last Forest
0000590001285,Banana Robusta Box,Unknown Brand
0000590004478,Mint,Unknown Brand
6909045692499,Veg Manchurian Noodles,Wow
8902167001093,MDH Karahi Chicken,
8906170521883,Hydrolyzed Pea Protein,Nutrabay
8901552001939,مخلل قطعات المانجو في الزيت,جمل
6901723000138,Amirthanjan(RED),
8901548310427,D'lite  yummy berry,
8906006852709,Alphonso Mango Ice cream,Baskin Robbins
8906179681809,Delight Mango juice 600 ml,
8906179681663,Delight Mango juice 250 ml,
8904132917279,Snac tac all in one,Snac tac
8901888009395,,
8906101940059,nikhar mhendi,
8908021087005,Trauben,
0010024300270,Crunchy Casheu,Dry Fruit House
8906054689128,Tapioca chips,
8908014421519,Millet,The Millet Company
8901548312483,Sugar free D'lite Assorted Cookies,D'lite
8901777077665,Amla Slices,Vadilal
8908000275249,Pineapple Drops,Viswas
8906078264738,Cremica Classic Bourbon,Cremica
8906131685029,Slurrp farm,
8908014602109,Ice Pops (Lemon Flavour),SKIPPI
8901063093690,Britannia Good Day Casio cookie,
8902080100491,Sting energy,PepsiCo Inc.
8901063162976,Doodh Marie Gold,Britannia
8908020220496,L❤️U,
7908014841035,Refined Wheat Flour (maida),Bhagyalakshmi
8906090578530,Too Yumm! Potato Chips,
8909106029002,Pukka Ashwagandha & Tulsi,Pukka
0801541520404,Organic india Tulsi Detox Kahwa,Organic india
8909106041783,Brooke bond taaza,Brooke Bond
8901440011439,Chicken Fry Masala,Eastern
8901063019249,Little Hearts,Britannia
8906010369224,Namkeens,
8908019673135,BAKERS VINEGAR 500 ML,
8906004654534,Jaggery Powder,Pavizham
8901777665107,Kaju Katli Mix,Vadilal
8906016611150,Zecal-Gold,Indochem
7901325019285,Center fresh,
8908009059413,Zero Maida Sourdough Rye Bread,The Health Factory
8904089992602,Cheese Slices (Processed Cheese),Heritage
8905950003694,khatta meetha,Bikaji
8905950003519,All in one Kuch Kuch,Bikaji
8905950003779,bikaji moong dal,
8908001105583,Rajwadi mixture,only
8905950003434,bikaji bikaneri bhujia 400g,Bikaji
7622202815423,Cadbury mini treat 128.7g,
7622202332210,Cadbury gems mini treats 117.55g,
8904258703985,Jal Jeera,Raw
8906085460444,Rice Papadi Green Chilly,Yash Papad
8906151232289,Ragi Chips Chatpata Crunch,Snackible
8906020250185,Gingelly oil,Pooja
8904124115287,Dahi,Ananda
7622202823831,Cadbury bournville Orange 50%,
7622202823862,Cadbury Bournville Intense Orange 70%,Cadbury
8903023185254,cinnamon,more choice
8906030521770,Karak Tea Instant Promix,Neel Cafe
8904049714275,hydra white face wash,matures
8906019630059,Noodles,
8904064617285,chilli powder,
8904064616363,Fenchel Samen,
8901063410015,The Laughing Cow Cheese Cubes,Britannia
8904004410181,Mini Kaju Katli,Haldiram's
8904132967793,,
8901262153294,Apple,"Amul, tru"
8908020463664,Choco Rings,Crax
8906030460161,Brown Bread,Moreish
00697259,,
8904063240262,Khatta meetha,Haldiram's
8904064664234,CASTOR OIL,
8904083301219,Milkymist gulab jamun,
3087162171448,Ice cream,
8901047619243,Chili Paneer Cooking Sauce,Kohinoor
8904018305848,Medimix Ayurvedic,
8901738707921,Coconut Flakes,Havana
8901662004714,Goda masala,
8901042956732,Jeera Rice,
8901662031055,Veg Kolhapuri,Suhana
8901884401988,Carrot Chilli Pickle,Rishta
8906186473343,Spaghetti,Pasta Zing
8904208600043,Paneer Tikka Masala Mix,Rasoi magic
8908013252725,Muesli 0% Added Sugar,Fit&Flex
8997220180051,SWALLOW SUN,
8906018553137,Frozen Sweet Corn,Pagro
8906010360122,Ghee,GRB
8904013420072,Goodrick khass,
8901595873241,Schezwan stir fry sauce,
8908014841119,Mozzarella Di Bufala,The Spotted Cow Fromagerie
8906033746026,Digestive Minis,McVities
8906067024381,MuscleBlaze Fish Oil 1000mg,MuscleBlaze
8902433031564,,
8903023264935,Roasted Bengal gram,More choice
8901747000631,Tea levaves,Wagh bakri
8908022639562,GLF PEANUT BUTTER 340GM,
8908024057289,Millet Bhel Bombay Bhelpuri,Eat Better Co
8906071430475,Basmati GOLD Rice 02 (Raw),India's Jaisal
8904071701779,Masala Butter Chakli,Unknown Brand
9101294116574,Truffle Chocolate ISO Whey,Eric Favre
8908005758723,cardamom chai,
8906034975463,Parboiled Basmati Rice,Evarat
8904063229861,Street Style Momos,Haldiram’s
8901595971190,Chings pad thai noodles,
4901034851070,fruit jam,Kissan
8906109930007,Rock salk,Tasav
8908018651677,Protein Puff Tomato,Troovy
8907316005311,Mother recipe Red chilli garlic chutney 200 g,
7622202356209,Milkini,Cadbury
8901058012637,Maggi imli sauce pichkoo 75 g,
8908023263100,Creatine Monohydrate,Fast&UP
8908013252213,muesli nuts 450g,
8906010368555,Masala Peanuts,Town Bus
8906069408141,Strawberry And Watermelon 0 Sugar,Zyro
8906116821084,Salted Pistachia Dragees,Éntisi
8906078150178,STAR FRIES Crispy/,
8906078150246,STAR RIES,
8908017962163,wicked gud,
8906078269863,mrs bector merry Christmas,
8901719136870,parle hide&seek,
8909081007460,sunfest magic,
8901063142879,brittania nutri choice seeds,
8901030935220,8901030935220,
8901030962738,,
8904057303591,Red Velvet & Salted Caramel Duet Ice Cream,Arun Icecreams
3948262020091,,
26048048,,
8901440217909,Crushed chilli,
8906021010221,,
8904043551845,Pineapple Sweet Fill,Modern
3948721023540,Crazy Stick Tomato Dhamal,Prabhuji
8901721023540,Crazy Stickk,Prabhuji
8934328842795,Classic Butter Croissant,The Bkry
8902188720089,Khatta mitha mix,
8906018140320,Original Tortilla Wraps,Switz
8901753001318,,
8906077362886,,
8906077362831,,
8906041817572,Chicloso Menta,
8906115881188,Galleta Choco Luv,
8906115882093,Galleta Rocco Chocolate,
