barcode,product_name,brands,categories,ingredients_text
0083507555563,Creamy Caesar Dressing,Veeba,,
0084226303152,Milky Mist Curd,Milky Mist,Dahi,
00850001,nan,,Snacks,
0085715321480,Shaving liquid,Guess seductive homme blue,,
00857462,nan,,,
0086220212065,nan,,,
00870211,nan,,,
0088251629805,nan,,,
00890425,Carbonated Water Based Flavoured Drink,RAW POP,,
0089046000076,Raspberry lemonade sustain electrolyte hydration,,,
00890618,Swaad Onion Rings,UNIBIC,,
0089094022495,PROTEIN POWDER DRINK MIX,ISOPURE,,
0089094025021,nan,Unknown Brand,,
0089094025800,Isopure Cookies And Cream,Isopure,,
0089094025809,Creamy Vanilla Protein Powder,Isopure,,
0089094025816,Creamy Vanilla Whey Isolate,Isopure,,
0089094025922,Dutch Chocolate,Isopure,,
0089094025939,Dutch Chocolate,Isopure Dutch Chocolate,,
0089094026448,Creatine Monohydrate,Isopure,,
0089686017717,Mie sarimi 2 soto,,,
0089686017724,Mie sarimi 2 kari spesial,,,
0089686018011,Mi Instant Sarimi Isi 2,Indofood,"Plant-based foods and beverages, Plant-based foods, Pastas, Noodles, Rice vermicelli, Dried rice noodles",
0089686018080,Mie sarimi 2 ayam tongseng,,,
0089688788011,nan,,,
0091644881010,nan,,,
00938669,Salted Tapioca Chips,Noice,Chips,
0094000543773,Avon halku,,,
0094495530906,nan,,,
00952862,Whey Protein Bar Chocolate Chip,NO!CE,,
0095983238526,Iso Whey 100,Freak Labs,,
00977925,Ganache Chocolate Cookie,Noice,,
00979651,nan,,,
00983084,nan,,,
0099044527406,Sunfeast Thin Arrowroot,Sunfeast,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits",
0099071351487,Whey Protein,Ultimate Nutrition,,
0099071671318,nan,,,
0099071802859,Iso Sensation 93,Ultimate Nutrition,,
00996582,Parle g,,,
0099958757399,nan,,,
00999770,nan,,,
0100004663550,nan,,,
01002113,nan,,,
01010500,Almond Stick,Unknown Brand,,
01047052,nan,,,
0110890524672,Moongdal 500g,,,
0111212272328,nan,Unknown Brand,,
01124802,Maggi,Maggi,Cereals and potatoes,
0113002006000,nan,,,
01143119,match,,,
0115550720053,nan,,,
01163917,Royal palace,,,
0117790000391,Low Carb Chicken Caesar Wrap,Redefine,,
0117790000650,Pulled Steak & Roasted Veggies,Redefine,,
0119802005004,nan,,,
0121313123123,kabuli chana001,,,
0123456745650,nan,,,
01245433,nan,Yellow Rai,Spice,
01245678,Singdana rosted,,,
0125162419818,nan,,Dates,
01281204,Fresho egg,Bigbasket,"en:eggs,en:fresh-eggs,en:chicken-eggs",
0131223042703,Poha,Vishalta,,
01341502,nan,,Tea premix,
01373714,nan,,,
01416596,Original Peanut Butter Powder,MYPB,,
01432921,Whole Wheat Bread,Fiorenza,,
0147719245029,coverage,Matt look,,
01489013,Jivo groundnut oil,,,
01501122,Sensoryne fresh mink paste,,,
01547979,Roasted Peanuts,Dev,Roasted peanuts,
0155441005142,nan,,Oil,
0166193064899,Cremica coconut 🥥,,,
01737875,Glucon-D,,,
01746305,nan,,,
0181210835238,Urad plain papad 200g,,,
0182972341081,Good life mixed dry fruits,Good Life,Dried fruits,
0187291021171,Thyronorm  37.5mcg,Medicine,,
0191069161280,Omega 3,,,
0195044497630,nan,,,
0198715535891,nutrabud spirulina,nutrabud,spirulina,
