barcode,product_name,brands,categories,slug,seo_status,seo_quality_score,has_ingredients,banned_reasons,ingredients_text,additives_tags
7501008019450,Choco Krispis,Kellogg's,,choco-krispis-7501008019450,NOINDEX,70,True,[Sunset Yellow (INS 110 - EU Warning Label)] [Allura Red AC (INS 129 - EU Warning Label)] ,"rice, sugar, cocoa (min, 3,7%), maltodextrin, iodized salt, malt extract, vegetable oil (palm), natural flavors (vanilla, sweet), rosemary extract, vitamins and minerals: calcium carbonate (calcium), alpha-tocopherol acetate (vitamin e), reduced iron, retinyl palmitate (vitamin a), zinc oxide, cyanocobalamin (vitamin b12), cholecalciferol (vitamin d), folic acid, contains <span class=""allergen"">gluten</span>,","['en:e110', 'en:e129']"
5060639123582,Pipeline Punch,Monster,,pipeline-punch-5060639123582,NOINDEX,70,True,[Allura Red AC (INS 129 - EU Warning Label)] ,"woda, soki owocowe odtworzone zagęszczonych soków (6%): pomarańcza, jabłko, guawa, ananas, owoce passiflory: cukier, syrop fruktozowy, dwutlenek węgla, tauryna, regulator kwasowości: cytryniany so was kwas cytrynowy; maltodekstryna, aromaty, substancje konserwujące: sorbinian potasu, benzoesan sodu; kofeina (0,03%) oleje roślinne: orzech kokosowy, nasiona rzepaku, substancja słodząca: sukraloza; skrobia modyfikowana witaminy: niacyna, witamina b6, ryboflawina, witamina b12; l-winian l-karnityny (0%) chlorek sodu, inozytol (0,002%, barwnik: e129)","['en:e129', 'en:e14xx', 'en:e202', 'en:e211', 'en:e290', 'en:e955']"
8901972068826,Nibbles Jeera,Dukes,,nibbles-jeera-8901972068826,INDEX,95,True,[Sunset Yellow (INS 110 - EU Warning Label)] ,"refined wheat flour (maida), refined palm oil, refined palmolein, sugar, invert syrup, iodized salt, raising agents [ins 503 (ii), ins 500(ii)], liquid glucose, cumin (1.87%), ajwain, baker's yeast, emulsifiers [ins 471, ins 322(i)], flour treatment agents [ins 223, ins 1101 (ii)] and artificial flavouring cholesterol (mg) substance (butter).","['en:e223', 'en:e322', 'en:e322i', 'en:e471', 'en:e500', 'en:e500ii', 'en:e503', 'en:e503ii']"
4801981189526,Nutri Boost Strawberry,"Coca Cola,Coca-Cola","Flavoured Drinks,Strawberry juice,Dairy drinks,Dairies,Beverages and beverages preparations,Beverages",nutri-boost-strawberry-4801981189526,NOINDEX,75,True,[Allura Red AC (INS 129 - EU Warning Label)] ,"water, whole milk powder, skimmed milk powder, sugar, stabilizers (carrageenan, guar gum, gellan gum), acidity regulator (sodium phosphate), vitamins (b3, e), mineral (zinc), natural and artificial flavors, artificial color (fd&c red #40)","['en:e129', 'en:e339', 'en:e407', 'en:e412', 'en:e418']"
7771609001271,Coca-Cola Zero Azúcar Retornable,"Zero,Coca-Cola","Bebidas, Bebidas carbonatadas, Bebidas endulzadas artificialmente, Sodas, Bebidas light, Bebidas de cola, Sodas light, Bebida de cola light, Bebidas no azucaradas",coca-cola-zero-azcar-retornable-7771609001271,NOINDEX,60,True,[Aspartame (INS 951 - IARC Group 2B Carcinogen)] ,"agua carbonatada, colorante (sin 150d), acidulante (sin 338), regulador de acidez (sin 331iii), edulcorantes (aspartame 0.024% (sin 951), acesulfame k 0.015% (sin 950)), conservante (sin 211), saborizantes naturales, cafeína.","['en:e150d', 'en:e211', 'en:e331', 'en:e331iii', 'en:e338', 'en:e950', 'en:e951']"
7501011125704,Doritos nacho 23g,Doritos,,doritos-nacho-23g-7501011125704,NOINDEX,70,True,[Tartrazine (INS 102 - EU Warning Label)] [Sunset Yellow (INS 110 - EU Warning Label)] [MSG / Monosodium Glutamate (INS 621 - Infant Restricted FSSAI)] ,"/0gde trans fats
made with corn
1 trans fatty acids,
ingredients: nixtamalized corn, vegetable oil (contains tbhq), seasoning (<span class=""allergen"">cheese</span> (4.4%),
maltodextrin, iodized salt, flavorings (contain milk ingredients), spices,
sunset yellow fcf, monosodium glutamate, class iv caramel, <span class=""allergen"">wheat flour</span>, acid
citrus, milk solids, glucose, tomato, hydrolyzed vegetable protein from corn,
modified starch, sugar, tartrazine, vegetable fat, silicon dioxide, whole milk
fermented, rice flour, sodium guanylate, sodium inosinate, vegetable oil,
lacte cultures, enzymes, disodium phosphate, class m caramel, lactic acid, triacetin,
milk protein concentrate, sodium caseinate, tricalcium phosphate, calcioj silicate,
achiote
contains <span class=""allergen"">milk</span> and wheat ingredients (<span class=""allergen"">gluten</span>),
made in equipment that processes products containing soy, v19pp
trademarks and registered commercial notice0s,
keep in a cool and dry place,","['en:e102', 'en:e14xx', 'en:e150d', 'en:e160b', 'en:e270', 'en:e330', 'en:e339ii', 'en:e621', 'en:e627', 'en:e631']"
8410199021069,Doritos,Doritos,"Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Corn chips",doritos-8410199021069,NOINDEX,75,True,[MSG / Monosodium Glutamate (INS 621 - Infant Restricted FSSAI)] ,"corn (80%), vegetable oils (corn and sunflower in varying proportions), prepared seasoning with cheese flavor (whey powder, wheat flour, salt, cheese powder (milk), tomato powder, preparations and flavoring substances (milk), onion powder, buttermilk powder (milk), potassium chloride, flavor enhancer (monosodium glutamate), milk proteins,  garlic powder, dextrose, acidity correctors (lactic acid, citric acid), dyes (paprika extract, bija bixin,   natural caramel, spices, sugar, skimmed milk powder),","['en:e160b', 'en:e160bi', 'en:e160c', 'en:e270', 'en:e330', 'en:e621']"
4062139020874,max cheery,pepsi,Sodas,max-cheery-4062139020874,NOINDEX,75,True,[Aspartame (INS 951 - IARC Group 2B Carcinogen)] ,"carbonated water colour (e150d), sweeteners (aspartame, acesulfame k), flavourings (including caffeine). acids (phosphoric acid, citric acid). preservative (potassium sorbate). contains a source of phenylalanine. caution: pressurised container. handle with care. open by hand.","['en:e150d', 'en:e202', 'en:e330', 'en:e338', 'en:e950', 'en:e951']"
7771605000865,Coca-Cola Zero Azúcar,"Coca-Cola,Coke Zero","Bebidas y preparaciones de bebidas,Bebidas,Bebidas carbonatadas,Bebidas endulzadas artificialmente,Sodas,Bebidas light,Bebidas no alcohólicas,Bebidas no azucaradas,Bebidas de cola,Sodas light,Bebida de cola light,Bebidas con sabor",coca-cola-zero-azcar-7771605000865,NOINDEX,75,True,[Aspartame (INS 951 - IARC Group 2B Carcinogen)] ,"agua carbonatada, colorante (sin 150d), reguladores de la acidez (sin 338, sin 331(iii)), edulcorante (sin 951 aspartame (0.024%)), sustancia conservadora (sin 211), edulcorante (sin 950 acesulfame k (0.016%)), saborizantes naturales, cafeína.","['en:e150d', 'en:e211', 'en:e331', 'en:e331iii', 'en:e338', 'en:e950', 'en:e951']"
8902570811227,Spencer's Smart Choice Cornflakes,Spencer's,"Breakfast cereals,Corn flakes",spencers-smart-choice-cornflakes-8902570811227,INDEX,100,True,[BHA - Butylated Hydroxyanisole (EU/US Restricted)] ,"corn grits (91.48%), sugar, lodised salt, malt extract. emulsifier [ins 322 (i)], antioxidant (ins 320).","['en:e320', 'en:e322', 'en:e322i']"
