barcode,product_name,brands,categories,fssai_category_code,banned_item,banned_item_type,banned_in_jurisdictions,violation_reason,needs_verification,verification_reason,data_source,last_cleaned,is_verified,platform,is_gs1_890,audit_tier
93657778,Salad cream,Heinz,,Unknown,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,False,PRIMARY_QUALIFYING
93657778,Salad cream,Heinz,,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),['EU'],Banned in EU according to additive rulebook. Functional Class: Colorant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,False,PRIMARY_QUALIFYING
93698450,Tic Tac Fruit Adventure,Ferrero,"Snacks, Sweet snacks, Confectioneries, en:candies",CAT_15,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
8994963003272,Instant Noodles Special Chicken Flavour,Unbranded,,Unknown,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,False,PRIMARY_QUALIFYING
711381319321,Chocolate Beach Stones,Stonewall Kitchen,,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),['EU'],Banned in EU according to additive rulebook. Functional Class: Colorant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,False,PRIMARY_QUALIFYING
8906026504961,Cream Roll,Nafees,,Unknown,Green S (E142),Additive (INS/E-Code),"['IN', 'JP', 'US']","Banned in IN, JP, US according to additive rulebook. Functional Class: Additive.",True,Claims banned in India - verify against FSSAI Schedule 2.4.5 | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,True,MUST_REMOVE_BANNED_IN_INDIA
8908010271194,Osmania biscuit,Cafe niloufer,,Unknown,Partially Hydrogenated Oil (PHO),Ingredient (Null INS),"['US', 'CA']",Banned in US (FDA 2018 GRAS revocation) and Canada due to industrial trans fats.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,True,EXCLUDE_OFF_SCOPE
8888307120063,Red Bull Plus,Red Bull,"Beverages, Energy drinks, Energy drink without sugar and with artificial sweeteners",CAT_14,Ponceau 4R (E124),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
9300650454149,Oreo Double Stuffed Sour Patch Kids Cookies 136g,Oreo,,CAT_07,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
7622300761349,Oreo Mini Stuffed With Vanilla Cream Cookies Imp,Oreo,,CAT_07,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
7622201718350,OREO COBERTURA SABOR A CHOCOLATE BLANCO,Oreo,,CAT_07,Titanium Dioxide (E171),Additive (INS/E-Code),['EU'],Banned in EU according to additive rulebook. Functional Class: Colorant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
9300650451506,Oreo Double Stuffed Cinnamon Bun,Oreo,,CAT_07,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
7622300484071,Oreo Golden Roll,Oreo,,CAT_07,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
9300650454101,Double Stuff Oreo Pascall Marshmallows,Oreo,,CAT_07,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
7622210708434,Oreo Dark and White Chocolate Flavoured Cream Sandwich Cookies,"Oreo, Mondelez International","Desserts, en:filled-biscuits",CAT_07,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
9300650450615,Oreo Double stuff,Oreo,,CAT_07,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
9310034002392,Mini Oreo,Oreo,,CAT_07,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
9300650451728,Oreo,Oreo,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Filled biscuits, Chocolate sandwich cookies",CAT_15,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
9300650025479,"choc Oreos 
oreo choc split",Oreo,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",CAT_15,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
9300650452701,OREO Original Choc Cookie Sandwich with Sweet Vanilla Creme,Oreo,,CAT_07,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
8992760223022,oreo (bwn) chocolate 27.6g,Oreo,,CAT_07,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
9300650022539,Oreo,Oreo,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Filled biscuits, Chocolate sandwich cookies, Sandwich biscuits",CAT_15,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
4892642101926,Oreo Chocolate Creme Cookies,Oreo,en:chocolate-sandwich-cookies,CAT_14,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
8992760121014,oreo (w) vanilla 27.6g,Oreo,,CAT_07,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
7622210515278,mini oreo,"Oreo, โอรีโอ",,CAT_07,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
7622201430122,Oreo goût ice cream,Oreo,,CAT_07,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
7622300878962,Oreo Less Sugar Vanilla Cream Chocolate Sandwich Cookies,Oreo,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Chocolate biscuits",CAT_15,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
7622202234903,Oreo coca cola,Oreo,,CAT_07,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
7790310982433,Lays jamón serrano,"Lay's,Pepsico","Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Botanas, Cereales y patatas, Snacks salados, Aperitivos, en:Chips and fries, Chips fritos, Chips de patatas fritas, Chips de patatas fritas con sabores",CAT_15,Ponceau 4R (E124),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,False,PRIMARY_QUALIFYING
