barcode,product_name,brands,categories,slug,seo_status,seo_quality_score,has_ingredients,banned_reasons,ingredients_text,additives_tags
8905532000400,Bharat Rice,Bharat,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Vegetables based foods, Vegetables, Spanish-vegetables, Rice, en:rices",bharat-rice-8905532000400,INDEX,80,True,,rice,[]
8902331002383,YumYum Instant Porridge Honey,YumYum,Breakfast cereals,yumyum-instant-porridge-honey-8902331002383,INDEX,100,True,,"whole wheat (72%), sugar, invert syrup, malt extract, glucose, honey(1%)",[]
8901725007102,Bingo,Itc,"potato-chips, fr:chips",bingo-8901725007102,INDEX,100,True,,"potato (60.0%), refined palmolein, seasoning (iodized salt, red chilli powder (1.1%), maltodextrin, *spices and condiments, onion powder, refined wheat flour (maida), nature identical flavouring substances, black salt, milk solids, natural flavours and natural flavouring substances, sugar, tomato powder, hydrolyzed vegetable protein, garlic powder and flavour enhancer (ins 508)} and iodized salt. fused as flavouring agents. contains soy, milk, wheat",['en:e508']
8901499010704,Chocos,Kellogg's,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, en:breakfast-cereals",chocos-8901499010704,INDEX,100,True,,"multi grain flour mix, sorghum, rice flour, sugar",[]
7622202030819,Cranberry,Cadbury Bournville,"Chocolates with cranberry, en:dark-chocolates",cranberry-7622202030819,INDEX,100,True,,"sugar, cocoa solids, dried sweetened cranberries (11%*) (cranberries, sugar), cocoa butter, almonds (5%*), milk solids, emulsifiers (442, 476), flavours (natural and nature identical flavouring substances). allergen information: contains milk, almond. may contain other tree nuts, soy.","['en:e442', 'en:e476']"
8904063224170,Chilli Paneer (Tofu),Haldiram'd,,chilli-paneer-tofu-8904063224170,INDEX,80,True,,"wrap whole wheat flour (56%), refined oil (cotton seed oil), salt, sugar and baking powder (maize starch & raising agent-e 500)) filling: tolu (38) (<span class=""allergen"">soybean</span>, water, magnesium chloride), capsicum (264 onions, refined vegetable oil (cotton seed), song onion green chill, garlic, ginger, <span class=""allergen"">celery</span>, red chilli powder, green chill sauce (water, green chilli (28%), salt, corn starch, sugar, acidity regulator e 260, garlic powder, stabilizing & emulsifying agent e 415 spices (cumin powder, coriander powder preservative e 211 vinegar (water, acidity regulator e260), conander leaves, soup powder (salt, dehydrated vegetable powder onion powder, sugar, spices & condiments, herbs (<span class=""allergen"">celery</span>, chwes yeast extract powder, corn flour and refined sunflower oil, mushroom favoring soy sauce, salt, arrowroot powder and sugar. attention for allergen see ingredient in bold, this product is made in a facility that processed foods containing wheat, <span class=""allergen"">peanut</span>, <span class=""allergen"">nuts</span>, <span class=""allergen"">soy</span> and <span class=""allergen"">mustard</span>.","['en:e211', 'en:e260', 'en:e415', 'en:e500']"
8901725004668,Oats & Almonds Cookies,Sunfeast,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits",oats-almonds-cookies-8901725004668,INDEX,100,True,,"trans fat free wheat flour (atta) (35.3%), oat flakes (21.2%), refined palm oil, sugar, liquid glucose, almonds (3.2%), raising agents [ins 503 (ii), ins 500(ii), ins 450(i)], maltodextrin, invert syrup, milk solids, lodized salt, artificial flavouring substances (milk, vanilla), emulsifier [lecithin (from soyabean)] and nature identical flavouring substances contains wheat, oats, milk, soy, nut. may contain sulphite the me ress","['en:e322', 'en:e322i', 'en:e450', 'en:e450i', 'en:e500', 'en:e500ii', 'en:e503', 'en:e503ii']"
8908014658489,kettle style cream and onion,the theather project,potato chips,kettle-style-cream-and-onion-8908014658489,INDEX,100,True,,"potato, edible vegetable oil (palmolein oils sunflower oil), sugar, lodised salt, milk solids (1.7 %), cheese powder (1.3%), dehydrated vegetable powder (onion (0.8%), garlic), yeast extract powder, acidity regulator (ins 270), herb (parsley), flavour enhancer (ins 627, ins 631), flavour (natural and nature identical flavouring substances), anticaking agent (ins 551) contains<span class=""allergen"">: milk</span>. may contains <span class=""allergen"">soy</span>, <span class=""allergen"">wheat</span> and <span class=""allergen"">nut</span>.","['en:e270', 'en:e551', 'en:e627', 'en:e631']"
8901248756136,Zandu Lean & Slim Juice with Honey & Apple Cider Vinegar,Zandu,Cider vinegars,zandu-lean-slim-juice-with-honey-apple-cider-vinegar-8901248756136,INDEX,85,True,,"apple cider vinegar with mother 1.7 ml, sunthi (zingiber officinale roxb.) rz. juice 1.7 ml, nimbu (citrus limon (linn.) burm. f.) fr. juice 1.7 ml, madhu (honey) 4.9 ml, excipients q.s., preservatives used: sodium benzoate 0.2% & potassium sorbate 0.15%.",[]
8908005543039,Nutricharge Kids Nutrition Drink,Nutricharge,beverages,nutricharge-kids-nutrition-drink-8908005543039,INDEX,100,True,,"sucrose, soya protein isolate (20%), whole milk (15%) powder cocoa powder, malt, phyllanthus niruri (ext.), fructo-oligosaccharides (fos-1.0%), whey protein concentrate, tri basic calcium phosphate, potassium chloride, dl-methionine, sodium chloride, docosahexaenoic acid (dha-0.2%), magnesium hydroxide, choline bitartrate, l-ascorbic acid, l-lysine hydrochloride, inositol, ocimum sanctum (ext.), bifidobacterium bifidum, lactobacillus acidophilus, zine sulphate, nicotinamide, binder (ins 462), retinyl acetate, calcium d pantothenate, manganese sulphate, pyridoxine hydrochloride, riboflavin, sodium phosphate, thiamine hydrochloride, cinnamomum verum, origanum majorana, n-pteroyl-l-glutamic acid, cyanocobalamin, sodium molybdate dihydrate, potassium iodide, sodium selenite angydrate, ergocalciferol and colour caramel (ins 150d).","['en:e150d', 'en:e462', 'en:e620']"
